Country Code,Country Name,Growth rate,,Stock-2015 CBM,,Harvest  (m3ob),,Ind. roundwood pot. (m3ub),,Share logs,,Potential assortments (m3ub) CBM,,,,Harvest 2015,,Production (m3ub) - from GFTM,,,,Stock-2016 CBM2,,Annual Harvest Potential (m3ob),,Annual ind. roundwood pot. (m3ub),,Share logs,,Annual  pot. (m3ub)_assortments,,,,Annual harvest 2016 to 2020,,Annual  production (m3ub) - from GFTM,,,,Stock-2020 CBM3,,Annual Harvest Potential (m3ob),,Annual ind. roundwood pot. (m3ub),,Share logs,,Annual  pot. (m3ub)_assortments,,,,Annual harvest 2021 to 2025,,Annual  production (m3ub) - from GFTM,,,,Stock-2025,,Annual Harvest Potential (m3ob),,Annual ind. roundwood pot. (m3ub),,Share logs,,Annual  pot. (m3ub)_assortments,,,,Annual harvest 2026 to 2030,,Annual  production (m3ub) - from GFTM,,,,Stock-2030,,Annual Harvest Potential (m3ob),,Annual ind. roundwood pot. (m3ub),,Share logs,,Annual  pot. (m3ub)_assortments,,,,Annual harvest 2031 to 2035,,Annual  production (m3ub) - from GFTM,,,,Stock-2035,,Annual Harvest Potential (m3ob),,Annual ind. roundwood pot. (m3),,Share logs,,Annual  pot. (m3ub)_assortments,,,,Annual harvest 2036 to 2040,,Annual  production (m3ub) - from GFTM,,,,Stock-2040,,Annual Harvest Potential (m3ob),,Annual ind. roundwood pot. (m3ub),,Share logs,,Annual  pot. (m3ub)_assortments,,,,Annual harvest 2041 to 2045,,Annual  production (m3ub) - from GFTM,,,,Stock-2045,,Annual Harvest Potential (m3ob),,Annual ind. roundwood pot. (m3ub),,Share logs,,Annual  pot. (m3ub)_assortments,,,,Annual harvest 2046 to 2050,,Annual  production (m3ub) - from GFTM,,,,Stock-2050,
,,%,,(m3ob),,2015,,2015,,,,2015,,,,m3ob,m3ob,2015,,,,(m3ob),,2016 to 2020,,2016 to 2020,,,,2016to 2020,,,,m3ob,m3ob,2016 to 2020,,,,(m3ob),,2021 to 2025,,2021 to 2025,,,,2021 to 2025,,,,m3ob,m3ob,2021 to 2025,,,,(m3ob),,2026 to 2030,,2026 to 2030,,,,2026 to 2030,,,,m3ob,m3ob,2026 to 2030,,,,(m3ob),,2031 to 2035,,2031 to 2035,,,,2031 to 2035,,,,m3ob,m3ob,2031 to 2035,,,,(m3ob),,2036 to 2040,,2036 to 2040,,,,2036 to 2040,,,,m3ob,m3ob,2036 to 2040,,,,(m3ob),,2041 to 2045,,2041 to 2045,,,,2041 to 2045,,,,m3ob,m3ob,2041 to 2045,,,,(m3),,2046 to 2050,,2046 to 2050,,,,2046 to 2050,,,,m3ob,m3ob,2046 to 2050,,,,(m3ob),
,,C,N,C,N,C,N,C,N,Log C,Log N,C log,N log,C pulpwood,N pulpwood,C,N,C log,N log,C pulpwood,N pulpwood,C,N,C,N,C,N,Log C,Log N,C log,N log,C pulpwood,N pulpwood,C,N,C log,N log,C pulpwood,N pulpwood,C,N,C,N,C,N,Log C,Log N,C log,N log,C pulpwood,N pulpwood,C,N,C log,N log,C pulpwood,N pulpwood,C,N,C,N,C,N,Log C,Log N,C log,N log,C pulpwood,N pulpwood,C,N,C log,N log,C pulpwood,N pulpwood,C,N,C,N,C,N,Log C,Log N,C log,N log,C pulpwood,N pulpwood,C,N,C log,N log,C pulpwood,N pulpwood,C,N,C,N,C,N,Log C,Log N,C log,N log,C pulpwood,N pulpwood,C,N,C log,N log,C pulpwood,N pulpwood,C,N,C,N,C,N,Log C,Log N,C log,N log,C pulpwood,N pulpwood,C,N,C log,N log,C pulpwood,N pulpwood,C,N,C,N,C,N,Log C,Log N,C log,N log,C pulpwood,N pulpwood,C,N,C log,N log,C pulpwood,N pulpwood,C,N
AT,Austria,2.45%,1.30%,960'126'786,238'448'088,16'675'322,1'164'772,14'674'283,1'024'999,69.0%,34.6%,10'125'255,354'482,4'549'028,670'517,16'627'051,1'159'137,10'095'015,352'813,4'536'790,667'228,967'022'841,240'388'776,23'692'060,3'125'054,20'849'012,2'750'048,69.0%,34.6%,14'385'819,951'066,6'463'194,1'798'982,17'107'608,1'417'703,10'530'713,425'963,4'523'982,821'615,1'005'893'618,249'337'106,24'644'394,3'241'382,21'687'066,2'852'416,69.0%,34.6%,14'964'076,986'469,6'722'991,1'865'948,17'657'995,1'655'482,10'989'356,488'327,4'549'679,968'497,1'047'013'239,257'693'502,25'651'824,3'350'016,22'573'605,2'948'014,69.0%,34.6%,15'575'788,1'019'530,6'997'818,1'928'484,18'265'860,1'887'182,11'461'190,549'343,4'612'766,1'111'377,1'090'383'630,265'448'872,26'714'399,3'450'835,23'508'671,3'036'735,69.0%,34.6%,16'220'983,1'050'213,7'287'688,1'986'522,0,0,,,,,1'230'662'979,283'157'528,30'151'243,3'681'048,26'533'094,3'239'322,69.0%,34.6%,18'307'835,1'120'275,8'225'259,2'119'048,0,0,,,,,1'388'989'459,302'047'565,34'030'242,3'926'618,29'946'613,3'455'424,69.0%,34.6%,20'663'163,1'195'010,9'283'450,2'260'414,0,0,,,,,1'567'684'858,322'197'796,38'408'279,4'188'571,33'799'286,3'685'943,69.0%,34.6%,23'321'507,1'274'732,10'477'779,2'411'211,0,0,,,,,1'730'850'758,343'692'292
BE,Belgium,4.65%,2.40%,70'742'368,57'793'386,3'515'400,1'003'990,3'093'552,883'511,60.0%,74.0%,1'918'002,670'585,1'175'550,212'926,3'501'598,1'000'631,1'910'688,668'696,1'170'718,211'860,70'530'289,58'179'796,3'279'658,1'396'315,2'886'099,1'228'757,60.0%,74.0%,1'731'682,909'568,1'154'417,319'189,3'186'878,1'061'164,1'708'323,683'301,1'096'130,250'524,72'591'811,60'198'805,3'375'519,1'444'771,2'970'457,1'271'399,60.0%,74.0%,1'782'297,941'133,1'188'159,330'266,3'101'120,1'104'898,1'654'428,698'901,1'074'558,273'410,75'608'122,62'253'337,3'515'778,1'494'080,3'093'884,1'314'790,60.0%,74.0%,1'856'355,973'253,1'237'530,341'538,3'105'160,1'144'077,1'652'625,715'960,1'079'916,290'828,79'373'851,64'370'642,3'690'884,1'544'895,3'247'978,1'359'508,60.0%,74.0%,1'948'812,1'006'354,1'299'166,353'154,0,0,,,,,99'626'211,72'474'900,4'632'619,1'739'398,4'076'705,1'530'670,60.0%,74.0%,2'446'055,1'133'054,1'630'650,397'616,0,0,,,,,125'045'992,81'599'484,5'814'639,1'958'388,5'116'882,1'723'381,60.0%,74.0%,3'070'169,1'275'705,2'046'713,447'676,0,0,,,,,156'951'669,91'872'851,7'298'253,2'204'948,6'422'462,1'940'355,60.0%,74.0%,3'853'528,1'436'317,2'568'935,504'038,0,0,,,,,196'998'129,103'439'634
BG,Bulgaria,2.53%,1.78%,240'312'190,385'415'749,2'095'692,1'341'157,1'844'209,1'180'218,56.8%,31.2%,1'069'641,413'076,774'568,767'142,2'089'452,1'337'230,1'066'807,411'973,771'911,764'789,244'314'304,390'933'644,6'193'014,6'953'268,5'449'852,6'118'876,56.8%,31.2%,3'093'404,1'908'308,2'356'448,4'210'568,2'157'515,1'378'304,1'127'935,423'040,770'678,789'867,266'101'939,420'067'388,6'745'299,7'471'450,5'935'863,6'574'876,56.8%,31.2%,3'369'270,2'050'522,2'566'593,4'524'354,2'226'918,1'423'875,1'180'898,434'238,778'791,818'772,290'447'570,451'658'002,7'362'425,8'033'330,6'478'934,7'069'331,56.8%,31.2%,3'677'524,2'204'729,2'801'410,4'864'602,2'313'834,1'476'131,1'234'917,446'500,801'257,852'496,317'604'702,485'898'472,8'050'819,8'642'342,7'084'721,7'605'261,56.8%,31.2%,4'021'376,2'371'871,3'063'345,5'233'390,0,0,,,,,359'951'954,530'674'920,9'124'261,9'438'750,8'029'349,8'306'100,56.8%,31.2%,4'557'559,2'590'443,3'471'791,5'715'657,0,0,,,,,407'945'500,579'577'602,10'340'828,10'308'548,9'099'928,9'071'523,56.8%,31.2%,5'165'233,2'829'157,3'934'695,6'242'366,0,0,,,,,462'338'180,632'986'757,11'719'603,11'258'500,10'313'251,9'907'480,56.8%,31.2%,5'853'930,3'089'869,4'459'321,6'817'611,0,0,,,,,523'983'209,691'317'665
HR,Croatia,1.80%,1.27%,64'211'187,434'288'940,852'867,2'897'835,750'523,2'550'094,68.8%,65.4%,516'088,1'874'319,234'435,675'775,850'082,2'889'174,514'560,1'869'284,233'512,673'189,64'516'906,436'895'689,1'161'304,5'528'912,1'021'948,4'865'442,68.8%,65.4%,702'730,3'180'224,319'218,1'685'219,864'443,3'015'029,520'365,1'929'230,240'345,723'996,66'214'044,450'173'695,1'191'853,5'696'945,1'048'830,5'013'311,68.8%,65.4%,721'215,3'276'876,327'615,1'736'435,879'064,3'143'645,526'342,1'993'015,247'235,773'393,67'996'416,463'670'321,1'223'935,5'867'744,1'077'063,5'163'615,68.8%,65.4%,740'629,3'375'120,336'434,1'788'495,900'102,3'287'674,535'985,2'060'969,256'105,832'185,69'839'895,477'322'691,1'257'118,6'040'515,1'106'264,5'315'653,68.8%,65.4%,760'708,3'474'497,345'555,1'841'156,0,0,,,,,76'355'876,508'299'428,1'374'406,6'432'525,1'209'477,5'660'622,68.8%,65.4%,831'682,3'699'981,377'795,1'960'641,0,0,,,,,83'479'792,541'286'458,1'502'636,6'849'976,1'322'320,6'027'979,68.8%,65.4%,909'277,3'940'098,413'043,2'087'881,0,0,,,,,91'268'360,576'414'242,1'642'830,7'294'518,1'445'691,6'419'176,68.8%,65.4%,994'111,4'195'798,451'580,2'223'378,0,0,,,,,99'783'593,613'821'708
CZ,Czechia,3.35%,1.67%,530'796'829,181'146'836,14'158'100,1'051'600,12'459'128,925'408,66.0%,59.3%,8'783'685,508'974,3'675'443,416'434,14'118'776,1'046'891,8'761'606,506'823,3'662'917,414'441,534'459'746,183'118'163,17'904'402,3'051'064,15'755'873,2'684'936,66.0%,59.3%,10'402'828,1'593'103,5'353'045,1'091'834,14'356'720,1'133'821,8'845'591,544'718,3'788'322,453'045,558'400'448,193'221'279,18'706'415,3'219'399,16'461'645,2'833'071,66.0%,59.3%,10'868'815,1'680'998,5'592'831,1'152'073,14'657'336,1'227'334,8'982'018,579'623,3'916'437,500'431,585'125'964,203'727'028,19'601'720,3'394'443,17'249'513,2'987'110,66.0%,59.3%,11'389'005,1'772'397,5'860'508,1'214'713,15'037'755,1'331'593,9'128'807,616'454,4'104'417,555'347,614'736'053,214'616'356,20'593'658,3'575'878,18'122'419,3'146'773,66.0%,59.3%,11'965'342,1'867'133,6'157'077,1'279'640,0,0,,,,,724'838'227,233'101'560,24'282'081,3'883'874,21'368'231,3'417'809,66.0%,59.3%,14'108'392,2'027'951,7'259'839,1'389'857,0,0,,,,,854'660'227,253'178'921,28'631'118,4'218'397,25'195'383,3'712'189,66.0%,59.3%,16'635'272,2'202'622,8'560'111,1'509'568,0,0,,,,,1'007'733'970,274'985'572,33'759'088,4'581'733,29'707'997,4'031'925,66.0%,59.3%,19'614'729,2'392'336,10'093'268,1'639'589,0,0,,,,,1'162'579'800,298'670'461
DK,Denmark,4.00%,1.28%,68'941'831,76'198'573,1'045'818,191'833,920'320,168'813,64.4%,60.9%,623'057,107'534,297'263,61'279,1'043'073,190'896,621'511,107'027,296'393,60'961,70'656'432,76'983'069,2'826'257,985'434,2'487'106,867'182,64.4%,60.9%,1'602'005,527'850,885'101,339'332,1'079'200,244'613,647'723,129'872,301'974,85'387,79'050'019,80'814'944,3'162'001,1'034'485,2'782'561,910'347,64.4%,60.9%,1'792'315,554'124,990'246,356'222,1'117'702,297'299,671'641,150'244,311'937,111'379,88'343'480,84'635'001,3'533'739,1'083'384,3'109'690,953'378,64.4%,60.9%,2'003'027,580'317,1'106'664,373'061,1'160'170,349'003,695'930,169'249,325'020,137'874,97'211'435,88'447'372,3'888'457,1'132'185,3'421'843,996'323,64.4%,60.9%,2'204'092,606'458,1'217'751,389'865,0,0,,,,,112'749'414,94'255'092,4'509'977,1'206'528,3'968'779,1'061'744,64.4%,60.9%,2'556'387,646'280,1'412'393,415'465,0,0,,,,,128'251'582,100'444'163,5'130'063,1'285'752,4'514'456,1'131'462,64.4%,60.9%,2'907'870,688'716,1'606'586,442'745,0,0,,,,,143'414'041,107'039'627,5'736'562,1'370'178,5'048'174,1'205'757,64.4%,60.9%,3'251'651,733'939,1'796'523,471'817,0,0,,,,,155'336'648,112'667'272
EE,Estonia,3.35%,2.00%,205'817'188,148'012'882,4'350'001,2'355'834,3'828'001,2'073'134,79.9%,38.9%,3'100'680,829'253,727'320,1'243'880,4'334'647,2'348'753,3'090'112,826'875,724'377,1'240'028,208'377'417,148'624'387,6'980'643,2'972'488,6'142'966,2'615'789,79.9%,38.9%,4'911'263,1'017'251,1'231'704,1'598'538,4'688'438,2'359'577,3'369'014,832'826,756'811,1'243'601,222'256'622,152'295'448,7'445'597,3'045'909,6'552'125,2'680'400,79.9%,38.9%,5'238'383,1'042'378,1'313'743,1'638'022,4'997'239,2'388'315,3'595'381,840'384,802'189,1'261'333,237'077'651,156'204'905,7'942'101,3'124'098,6'989'049,2'749'206,79.9%,38.9%,5'587'701,1'069'136,1'401'349,1'680'071,5'302'067,2'437'547,3'808'341,853'015,857'478,1'292'027,253'029'062,160'275'101,8'476'474,3'205'502,7'459'297,2'820'842,79.9%,38.9%,5'963'661,1'096'994,1'495'636,1'723'848,0,0,,,,,298'347'780,176'956'662,9'994'651,3'539'133,8'795'293,3'114'437,79.9%,38.9%,7'031'781,1'211'170,1'763'512,1'903'267,0,0,,,,,351'783'297,195'374'454,11'784'740,3'907'489,10'370'572,3'438'590,79.9%,38.9%,8'291'206,1'337'230,2'079'365,2'101'361,0,0,,,,,414'789'372,215'709'184,13'895'444,4'314'184,12'227'991,3'796'482,79.9%,38.9%,9'776'201,1'476'410,2'451'790,2'320'072,0,0,,,,,489'080'137,238'160'369
FI,Finland,3.50%,2.90%,1'693'335'852,342'656'182,47'217'162,9'373'890,41'551'103,8'249'023,51.8%,11.8%,21'731'227,1'031'128,19'819'876,7'217'895,47'078'456,9'326'731,21'672'807,1'023'124,19'756'234,7'184'399,1'695'364'136,343'266'480,59'337'745,9'954'728,52'217'215,8'760'161,51.8%,11.8%,27'056'594,1'034'676,25'160'622,7'725'484,47'449'504,8'963'033,21'898'560,910'055,19'857'004,6'977'414,1'709'136'655,351'196'764,59'819'783,10'184'706,52'641'409,8'962'541,51.8%,11.8%,27'276'392,1'058'580,25'365'017,7'903'962,47'968'727,8'898'152,22'169'321,810'359,20'043'159,7'020'014,1'720'444'248,360'670'003,60'215'549,10'459'430,52'989'683,9'204'298,51.8%,11.8%,27'456'851,1'087'134,25'532'831,8'117'164,49'111'385,9'039'653,22'510'204,756'922,20'707'815,7'197'973,1'724'822'014,370'891'371,60'368'771,10'755'850,53'124'518,9'465'148,51.8%,11.8%,27'526'717,1'117'943,25'597'801,8'347'205,0,0,,,,,1'970'591'043,427'881'593,68'970'687,12'408'566,60'694'204,10'919'538,51.8%,11.8%,31'448'985,1'289'724,29'245'219,9'629'815,0,0,,,,,2'246'998'612,493'628'786,78'644'951,14'315'235,69'207'557,12'597'407,51.8%,11.8%,35'860'219,1'487'899,33'347'339,11'109'507,0,0,,,,,2'550'965'480,569'478'525,89'283'792,16'514'877,78'569'737,14'533'092,51.8%,11.8%,40'711'276,1'716'526,37'858'461,12'816'566,0,0,,,,,2'879'150'688,656'983'141
