country_iso2,Coniferous_2015,Broadleaved_2015,Coniferous_2020,Broadleaved_2020,Coniferous_2025,Broadleaved_2025,Coniferous_2030,Broadleaved_2030
AT,3276579.26,893806.10,3339142.02,900700.39,3449110.04,940591.69,3571321.40,990955.48
BE,82122.93,883120.11,74741.79,852968.73,72730.52,894743.27,72825.27,927503.02
BG,355877.47,1840355.22,367469.93,1852063.50,379290.83,1977419.97,394094.46,2108694.81
HR,48878.94,1020152.64,49474.22,1032986.85,50382.15,1060108.64,51571.04,1087496.64
CZ,1162659.44,559058.00,1180994.24,572623.31,1206953.17,610668.30,1238910.78,646673.95
DK,561963.49,262209.74,563374.88,255846.91,623156.13,263424.44,692236.08,271119.62
EE,708269.78,916383.71,733365.48,919242.90,787759.64,939155.05,816510.77,955417.91
FI,2505595.04,3364348.16,2525342.83,3361659.56,2552976.74,3394734.48,2613790.92,3462193.28
FR,2997723.90,32471679.15,3071697.77,32426811.87,3150579.14,34997375.99,3245162.28,37807197.87
DE,11201224.75,4060089.62,11331851.57,4079895.23,11451946.49,4336562.51,11604939.09,4578161.15
GR,63290.25,124444.53,56364.94,120885.73,50386.65,120713.53,45216.31,121173.63
HU,134465.63,1697675.83,135421.31,1694418.27,137190.87,1760829.70,139747.16,1819207.15
IE,173602.53,5021.13,179153.29,4243.63,190470.80,3954.13,201540.38,3842.87
IT,1759339.49,6119607.75,1760467.39,6181772.64,1884259.37,6595552.91,1993339.01,7044631.76
LV,1271678.59,1092474.91,1275217.32,1115910.75,1286025.22,1178225.52,1300174.55,1250992.23
LT,848820.86,958989.57,860883.55,956752.72,889602.49,965567.22,919760.60,966693.91
LUX,7168.58,108606.95,6313.27,105750.33,5564.49,107874.35,4992.20,125476.50
NL,129065.19,300485.49,148211.56,304966.18,168936.48,340637.21,189852.39,365710.38
PL,2799843.64,2699434.37,2842732.11,2715909.86,2880785.76,2736658.77,2930434.20,2768677.72
PT,802482.31,3128243.28,815697.94,3193769.56,858728.18,3319656.27,919220.38,3493703.93
RO,784736.23,6210560.94,828562.79,6213154.54,870903.83,6589839.61,917022.41,7003135.72
SK,321043.90,505848.24,328649.49,508509.90,339957.77,516973.82,352319.20,529087.38
SL,222300.80,529068.39,220608.78,546289.99,220280.60,568674.33,221619.93,593388.93
ES,390951.06,3422398.70,401941.20,3491467.30,424099.32,3752366.05,454303.25,4019897.00
SW,4361454.96,2595947.79,4398495.91,2504618.37,4458249.54,2654377.50,4606331.15,2717480.20
ZZ,4000.00,20000.00,4000.00,20000.00,4000.00,20000.00,4000.00,20000.00
