"country","step","year","irw_c","irw_b","fw_c","fw_b","total"
"AT",1,1998,12298202,855085,2133767,1516812,16803866
"AT",2,1999,12460304,901884,3973141,1509716,18845044
"AT",3,2000,11743385,909323,3863232,1423467,17939408
"AT",4,2001,11355037,973966,3579140,1456596,17364739
"AT",5,2002,16296610,1023526,3392162,1460472,22172771
"AT",6,2003,15307003,1064876,5465757,1586266,23423901
"AT",7,2004,14259664,1092037,5774554,1664281,22790537
"AT",8,2005,14303105,1059386,6074231,1756556,23193278
"AT",9,2006,17150540,1035702,6950979,2162981,27300202
"AT",10,2007,20809508,1078870,7195086,2002586,31086050
"AT",11,2008,19000282,1186318,8271722,2139587,30597909
"AT",12,2009,14225478,901632,5876884,2116419,23120413
"AT",13,2010,15763054,838638,5519617,2056754,24178063
"AT",14,2011,15782188,958675,5668165,2212793,24621822
"AT",15,2012,14800696,1010441,5853748,1912748,23577633
"AT",16,2013,16466584,1173385,3211749,2168011,23019729
"AT",17,2014,16651235,1168864,3326558,2157705,23304362
"AT",18,2015,16675322,1164772,3235364,2140480,23215937
"BE",1,1999,2117979,653689,37148,489185,3298000
"BE",2,2000,1593335,491764,40858,538043,2664000
"BE",3,2001,2237528,690586,40857,538029,3507000
"BE",4,2002,3312616,1022399,40864,538120,4914000
"BE",5,2003,3269843,1009197,40862,538097,4858000
"BE",6,2004,2912527,898916,44575,586982,4443000
"BE",7,2005,2655265,819516,48292,635928,4159000
"BE",8,2006,2503944,772812,49775,655469,3982000
"BE",9,2007,2529519,780706,52001,684774,4047000
"BE",10,2008,2437823,752404,52001,684772,3927000
"BE",11,2009,2303013,710797,53865,709325,3777000
"BE",12,2010,2639750,814727,53042,698481,4206000
"BE",13,2011,3119086,962668,73843,972403,5128000
"BE",14,2012,3231252,1003996,61569,831184,5128001
"BE",15,2013,3615400,1003990,61570,831180,5512140
"BE",16,2014,3515400,1003990,61570,831180,5412140
"BE",17,2015,3515400,1003990,61570,831180,5412140
"BG",1,2000,1019678,919879,179943,1635341,3754841
"BG",2,2001,1019102,778642,179841,1384253,3361838
"BG",3,2002,1201054,1054172,211951,1874084,4341261
"BG",4,2003,1497122,1309419,264198,2327855,5398594
"BG",5,2004,1726442,1389862,304666,2470867,5891837
"BG",6,2005,1854075,1291272,327190,2295596,5768133
"BG",7,2006,1806238,1392068,318748,2474787,5991841
"BG",8,2007,1757205,1306593,310095,2322831,5696724
"BG",9,2008,1938372,1364552,342066,2425871,6070861
"BG",10,2009,1105185,1187550,195033,2111200,4598968
"BG",11,2010,1666400,1334875,294071,2373112,5668457
"BG",12,2011,1963339,1402402,346472,2493160,6205373
"BG",13,2012,1995469,1617531,352142,2875610,6840752
"BG",14,2013,2228405,1502597,393248,2671284,6795534
